CID (Canonical ID),Book Location (Heading),Book Source File,Website Page Title,Website URL Slug,Website Template/Type,Notion Home,Source of Truth,Sync Cadence,Lock State,Owner,Notes
SB-03,SB-03 — CIM Program: Teaser → NDA → CIM → Buyer Deck → Appendix Pack,OnPoint_Systems_Book_Master.docx,CIM Program,/cim,Program Hub,Notion: CIM Control Panel,CIM Registry → Notion → Book/Deck,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-03-01,SB-03-01 Canonical Deliverable Chain,OnPoint_Systems_Book_Master.docx,Deliverable Chain,/cim/deliverables,Doc Page,Notion: CIM Deliverables,CIM Registry → Notion → Book/Deck,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-03-02,SB-03-02 Lock Rules,OnPoint_Systems_Book_Master.docx,Lock Rules,/cim/lock-rules,Doc Page,Notion: Lock Rules,CIM Registry → Notion → Book/Deck,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-03-03,SB-03-03 Master vs. External Formats,OnPoint_Systems_Book_Master.docx,Formats,/cim/formats,Doc Page,Notion: Formats,CIM Registry → Notion → Book/Deck,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02,SB-04-02 Website Architecture Spec (Canonical),OnPoint_Systems_Book_Master.docx,Architecture Index,/architecture,Architecture Hub,Notion: Website Architecture (DB),Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-01,SB-04-02-01 Information Architecture & Sitemap,OnPoint_Systems_Book_Master.docx,Sitemap,/architecture/sitemap,Doc Page,Notion: IA & Sitemap,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-02,SB-04-02-02 Page Templates & Component Rules,OnPoint_Systems_Book_Master.docx,Templates,/architecture/templates,Doc Page,Notion: Templates & Components,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-03,"SB-04-02-03 Content Types, Metadata & CMS Fields",OnPoint_Systems_Book_Master.docx,Content Model,/architecture/content-model,Doc Page,Notion: Content Model,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-04,SB-04-02-04 Navigation Rules & UX Standards,OnPoint_Systems_Book_Master.docx,Navigation Rules,/architecture/navigation,Doc Page,Notion: UX Standards,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-05,"SB-04-02-05 SEO, Analytics & Tracking Plan",OnPoint_Systems_Book_Master.docx,SEO & Analytics,/architecture/seo-analytics,Doc Page,Notion: SEO/Analytics,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-06,SB-04-02-06 Publishing Workflow & Governance,OnPoint_Systems_Book_Master.docx,Publishing Workflow,/architecture/workflow,Doc Page,Notion: Workflow & Governance,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-07,"SB-04-02-07 Version Tagging, Release Notes & Locking",OnPoint_Systems_Book_Master.docx,Versioning,/architecture/versioning,Doc Page,Notion: Versioning & Locks,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-02-08,"SB-04-02-08 QA, Accessibility, Security, Performance",OnPoint_Systems_Book_Master.docx,QA & Standards,/architecture/qa,Doc Page,Notion: QA Checklist,Notion → Book → Website,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
SB-04-03,SB-04-03 Website ↔ CIM Mapping Table (Starter),OnPoint_Systems_Book_Master.docx,CIM Sync Map,/architecture/cim-sync,Doc Page,Notion: CIM Sync Map,CIM Registry → Notion → Book/Deck,On change (commit-based),LOCKED when published,Ops (TBD),"Place CID in Word heading, Notion property, and website front matter."
