Type,Level,SB_Code,SB_Title,Website_Section,Website_Page_ID,Website_Suggested_Title,Website_Suggested_Slug,Notion_DB,Notion_Path,Canonical_Source,Sync_Rule,Owner_Role,Version_Lock,Status
BookSection,1,SB-INTRO-01,OnPoint Authority Systems — Systems Book (Master),Systems Book,WP-INTRO-01,OnPoint Authority Systems — Systems Book (Master),/systems-book/sb-intro-01-onpoint-authority-systems-systems-book-master,Systems Book,OPS / Systems Book / SB-INTRO-01,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-INTRO-02,How to Use This Book,Systems Book,WP-INTRO-02,How to Use This Book,/systems-book/sb-intro-02-how-to-use-this-book,Systems Book,OPS / Systems Book / SB-INTRO-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,3,SB-INTRO-03,Canonical Coding Standard (Used Everywhere),Systems Book,WP-INTRO-03,Canonical Coding Standard (Used Everywhere),/systems-book/sb-intro-03-canonical-coding-standard-used-everywhere,Systems Book,OPS / Systems Book / SB-INTRO-03,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-INTRO-04,Table of Contents,Systems Book,WP-INTRO-04,Table of Contents,/systems-book/sb-intro-04-table-of-contents,Systems Book,OPS / Systems Book / SB-INTRO-04,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-00,Master Control & Registry System,Master Control,WP-00,Master Control & Registry System,/governance/master-control/sb-00-master-control-registry-system,Systems Book,OPS / Systems Book / SB-00,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-00-01,Purpose & Non-Negotiables,Master Control,WP-00-01,Purpose & Non-Negotiables,/governance/master-control/sb-00-01-purpose-non-negotiables,Systems Book,OPS / Systems Book / SB-00-01,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-00-02,Canonical File Naming Standard,Master Control,WP-00-02,Canonical File Naming Standard,/governance/master-control/sb-00-02-canonical-file-naming-standard,Systems Book,OPS / Systems Book / SB-00-02,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-00-03,Registry Fields,Master Control,WP-00-03,Registry Fields,/governance/master-control/sb-00-03-registry-fields,Systems Book,OPS / Systems Book / SB-00-03,Book,1-way (Book→Notion),CEO Ops / Content,v2026-02-17r2,Active
BookSection,1,SB-01,Authority OS Overview & Architecture,Authority OS,WP-01,Authority OS Overview & Architecture,/authority-os/sb-01-authority-os-overview-architecture,Systems Book,OPS / Systems Book / SB-01,Book,1-way (Book→Website),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-01-01,Authority OS Definition,Authority OS,WP-01-01,Authority OS Definition,/authority-os/sb-01-01-authority-os-definition,Systems Book,OPS / Systems Book / SB-01-01,Book,1-way (Book→Website),CEO Ops / Content,v2026-02-17r2,Active
BookSection,2,SB-01-02,Layer Model,Authority OS,WP-01-02,Layer Model,/authority-os/sb-01-02-layer-model,Systems Book,OPS / Systems Book / SB-01-02,Book,1-way (Book→Website),CEO Ops / Content,v2026-02-17r2,Active
