Asset Code,Asset Name,External Format,Status,Release ID,Type,Parent,Output File Name,Notes
"SB-00","OnPoint Systems Book — Master Rollup","Book Rollup (Master)","ACTIVE","v2026-02-17r3","Book Master","","OnPoint_Systems_Book_Master_v2026-02-17r3.zip","PARENT BOOK: contains SB-01…SB-12 chapter rollups."
"SB-01","SB-01 Chapter Rollup — Foundation & Positioning","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-01_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-01-Axx, SB-01-Wxx, SB-01-Txx."
"SB-02","SB-02 Chapter Rollup — Offer, Pricing & Packaging","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-02_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-02-Axx, SB-02-Wxx, SB-02-Txx."
"SB-03","SB-03 Chapter Rollup — Lead Gen & Marketing Engine","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-03_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-03-Axx, SB-03-Wxx, SB-03-Txx."
"SB-04","SB-04 Chapter Rollup — Client Experience & Delivery Standards","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-04_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-04-Axx, SB-04-Wxx, SB-04-Txx."
"SB-05","SB-05 Chapter Rollup — Systems, Tools & Automation","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-05_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-05-Axx, SB-05-Wxx, SB-05-Txx."
"SB-06","SB-06 Chapter Rollup — Performance Management & KPI Cadence","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-06_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-06-Axx, SB-06-Wxx, SB-06-Txx."
"SB-07","SB-07 Chapter Rollup — Delivery & Operations","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-07_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-07-Axx, SB-07-Wxx, SB-07-Txx."
"SB-08","SB-08 Chapter Rollup — Sales Pipeline & Growth","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-08_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-08-Axx, SB-08-Wxx, SB-08-Txx."
"SB-09","SB-09 Chapter Rollup — Finance & Reporting","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-09_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-09-Axx, SB-09-Wxx, SB-09-Txx."
"SB-10","SB-10 Chapter Rollup — People & Org Design","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-10_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-10-Axx, SB-10-Wxx, SB-10-Txx."
"SB-11","SB-11 Chapter Rollup — Legal, Risk & Compliance","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-11_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-11-Axx, SB-11-Wxx, SB-11-Txx."
"SB-12","SB-12 Chapter Rollup — Exit Readiness & M&A Package","Chapter Rollup","ACTIVE","v2026-02-17r3","Chapter Rollup","SB-00","OnPoint_SB-12_Chapter_Rollup_v2026-02-17r3.zip","PARENT CHAPTER: contains SB-12-Axx, SB-12-Wxx, SB-12-Txx."
"SB-01-Axx","SB-01 Appendix Assets Pack Rollup","Pack Rollup (Appendix Assets)","ACTIVE","v2026-02-17r3","Pack Parent","SB-01","OnPoint_SB-01_Appendix_Assets_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-01-A01…A05."
"SB-01-Wxx","SB-01 Web Copy Pack Rollup","Pack Rollup (Web Copy)","ACTIVE","v2026-02-17r3","Pack Parent","SB-01","OnPoint_SB-01_Web_Copy_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-01-W01…W03."
"SB-01-Txx","SB-01 Templates Pack Rollup","Pack Rollup (Templates)","ACTIVE","v2026-02-17r3","Pack Parent","SB-01","OnPoint_SB-01_Templates_Pack_Rollup_v2026-02-17r3.zip","PARENT PACK: contains SB-01-T01…T06."
"SB-01-W01","Chapter Landing Page Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-01-Wxx","OnPoint_SB-01_W01_Landing_Copy_v2026-02-17r3.md","Website canonical copy"
"SB-01-W02","Section Blocks & Component Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-01-Wxx","OnPoint_SB-01_W02_Blocks_Components_v2026-02-17r3.md","Modular page sections"
"SB-01-W03","Downloads Hub Copy","MD","ACTIVE","v2026-02-17r3","Web Child","SB-01-Wxx","OnPoint_SB-01_W03_Downloads_Hub_v2026-02-17r3.md","Download descriptions for A/T assets"
"SB-01-A01","System Diagram","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-01-Axx","OnPoint_SB-01_A01_System_Diagram_v2026-02-17r3.pdf","Include in Appendix Pack index"
"SB-01-A02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-01-Axx","OnPoint_SB-01_A02_SOP_Template_v2026-02-17r3.docx","Version-locked template"
"SB-01-A03","Scorecard","XLSX","ACTIVE","v2026-02-17r3","Appendix Child","SB-01-Axx","OnPoint_SB-01_A03_Scorecard_v2026-02-17r3.xlsx","KPI/scorecard worksheet"
"SB-01-A04","Example Pack","PDF","ACTIVE","v2026-02-17r3","Appendix Child","SB-01-Axx","OnPoint_SB-01_A04_Examples_v2026-02-17r3.pdf","Filled examples/screens"
"SB-01-A05","Standards & Definitions","DOCX","ACTIVE","v2026-02-17r3","Appendix Child","SB-01-Axx","OnPoint_SB-01_A05_Standards_Definitions_v2026-02-17r3.docx","Glossary + rules"
"SB-01-T01","Checklist","PDF","ACTIVE","v2026-02-17r3","Template Child","SB-01-Txx","OnPoint_SB-01_T01_Checklist_v2026-02-17r3.pdf","Printable checklist"
"SB-01-T02","SOP Template","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-01-Txx","OnPoint_SB-01_T02_SOP_Template_v2026-02-17r3.docx","Execution SOP"
"SB-01-T03","Tracker","XLSX","ACTIVE","v2026-02-17r3","Template Child","SB-01-Txx","OnPoint_SB-01_T03_Tracker_v2026-02-17r3.xlsx","Operating tracker"
"SB-01-T04","Scripts Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-01-Txx","OnPoint_SB-01_T04_Scripts_Pack_v2026-02-17r3.docx","Stakeholder comms scripts"
"SB-01-T05","Notion Template","MD","ACTIVE","v2026-02-17r3","Template Child","SB-01-Txx","OnPoint_SB-01_T05_Notion_Template_v2026-02-17r3.md","Database/page template"
"SB-01-T06","Prompt Pack","DOCX","ACTIVE","v2026-02-17r3","Template Child","SB-01-Txx","OnPoint_SB-01_T06_Prompt_Pack_v2026-02-17r3.docx","AI prompts"
